"page_path","title","heading","script_refs","is_changed"
".design-backup/refine-seline-admin-20260713-222851/pages/dashboard.html","Dashboard | MindHub Admin","Dashboard Tổng quan","../assets/js/app.js | ../assets/js/pages/dashboard.js | https://cdn.jsdelivr.net/npm/chart.js","False"
"pages/banners.html","Banner và trang chủ | MindHub Admin","Banner và trang chủ","../assets/js/app.js | ../assets/js/pages/banners.js | ../assets/js/sidebar.js | ../assets/js/sidebar-scroll.js | ../assets/js/sidebar-toggle.js","False"
"pages/categories.html","Quản lý danh mục | MindHub Admin","Quản lý danh mục (0)","../assets/js/app.js | ../assets/js/pages/categories.js | ../assets/js/sidebar-scroll.js | ../assets/js/sidebar-toggle.js","False"
"pages/course-reviews.html","Kiểm duyệt khóa học | MindHub Admin","Kiểm duyệt khóa học","../assets/js/app.js | ../assets/js/pages/course-reviews.js | ../assets/js/sidebar-scroll.js | ../assets/js/sidebar-toggle.js","False"
"pages/courses.html","Quản lý khóa học | MindHub Admin","Quản lý khóa học","../assets/js/app.js | ../assets/js/pages/courses.js | ../assets/js/sidebar-scroll.js | ../assets/js/sidebar-toggle.js","False"
"pages/dashboard.html","Dashboard | MindHub Admin","Dashboard Tổng quan","../assets/js/app.js | ../assets/js/pages/dashboard.js | ../assets/js/sidebar-scroll.js | ../assets/js/sidebar-toggle.js | https://cdn.jsdelivr.net/npm/chart.js","False"
"pages/faqs.html","Quản lý FAQ | MindHub Admin","Quản lý FAQ","../assets/js/app.js | ../assets/js/pages/faqs.js | ../assets/js/sidebar.js | ../assets/js/sidebar-scroll.js | ../assets/js/sidebar-toggle.js","False"
"pages/instructor-upgrades.html","Yêu cầu nâng cấp giảng viên | MindHub Admin","Yêu cầu lên giảng viên","../assets/js/app.js | ../assets/js/pages/instructor-upgrades.js | ../assets/js/sidebar-scroll.js | ../assets/js/sidebar-toggle.js","False"
"pages/moderation.html","Kiểm duyệt bình luận và đánh giá | MindHub Admin","Kiểm duyệt bình luận và đánh giá","../assets/js/app.js | ../assets/js/pages/moderation.js | ../assets/js/sidebar.js | ../assets/js/sidebar-scroll.js | ../assets/js/sidebar-toggle.js","False"
"pages/notifications.html","Thông báo Admin | MindHub Admin","Thông báo Admin","../assets/js/app.js | ../assets/js/pages/notifications.js | ../assets/js/sidebar.js | ../assets/js/sidebar-scroll.js | ../assets/js/sidebar-toggle.js","False"
"pages/orders.html","Đơn hàng và thanh toán | MindHub Admin","Đơn hàng và thanh toán","../assets/js/app.js | ../assets/js/pages/orders.js | ../assets/js/sidebar.js | ../assets/js/sidebar-scroll.js | ../assets/js/sidebar-toggle.js","False"
"pages/payout-accounts.html","Tài khoản nhận tiền | MindHub Admin","Tài khoản nhận tiền","../assets/js/app.js | ../assets/js/pages/payout-accounts.js | ../assets/js/sidebar.js | ../assets/js/sidebar-scroll.js | ../assets/js/sidebar-toggle.js","False"
"pages/reports.html","Báo cáo và thống kê | MindHub Admin","Báo cáo và thống kê","../assets/js/app.js | ../assets/js/pages/reports.js | ../assets/js/sidebar.js | ../assets/js/sidebar-scroll.js | ../assets/js/sidebar-toggle.js","False"
"pages/revenues.html","Doanh thu và chia lợi nhuận | MindHub Admin","Doanh thu và chia lợi nhuận","../assets/js/app.js | ../assets/js/pages/revenues.js | ../assets/js/sidebar.js | ../assets/js/sidebar-scroll.js | ../assets/js/sidebar-toggle.js","False"
"pages/users.html","Quản lý người dùng | MindHub Admin","Quản lý người dùng","../assets/js/app.js | ../assets/js/pages/users.js | ../assets/js/sidebar-scroll.js | ../assets/js/sidebar-toggle.js","False"
"pages/withdrawals.html","Yêu cầu rút tiền | MindHub Admin","Yêu cầu rút tiền","../assets/js/app.js | ../assets/js/pages/withdrawals.js | ../assets/js/sidebar.js | ../assets/js/sidebar-scroll.js | ../assets/js/sidebar-toggle.js","False"
